,id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,last_credit_pull_d,pub_rec_bankruptcies
137,1068111,11100.0,11100.0,11100.0, 36 MONTHS,6.62,340.82,A,A2,AETNA ,10+ YEARS,RENT,41000.0,VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,194XX,PA,29.85,0,1991-01-01,1,8,0,17518,62.3,18,0.0,0.0,8120.14,8120.14,6516.79,976.85,0.0,626.5,6.265000001,2013-11-01,340.82,2014-03-01,0.0
145,1068091,12000.0,12000.0,12000.0, 36 MONTHS,9.91,386.7,B,B1,LUXOTTICA RETAIL,2 YEARS,RENT,42000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,553XX,MN,7.83,0,2006-06-01,2,8,0,9749,65.4,16,0.0,0.0,11234.49,11234.49,9011.72,1807.88,0.0,414.89,4.148900002,2014-05-01,386.7,2015-10-01,0.0
151,1067794,10000.0,10000.0,10000.0, 36 MONTHS,11.71,330.76,B,B3,KARL STRAUSS BREWING COMPANY,8 YEARS,RENT,60000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,921XX,CA,22.08,0,2001-07-01,0,8,0,5626,29.3,26,0.0,0.0,6002.23,6002.23,4293.91,1388.86,0.0,319.46,57.5028,2013-07-01,62.38,2013-11-01,0.0
153,1068018,13475.0,13475.0,13450.0, 60 MONTHS,13.49,309.99,C,C1,VONS,10+ YEARS,RENT,25000.0,VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,917XX,CA,21.89,0,2001-12-01,1,7,0,9943,65.8,14,0.0,0.0,6198.89,6187.44,3516.74,2682.15,0.0,0.0,0.0,2013-10-01,28.0,2016-05-01,0.0
155,1067818,5600.0,5600.0,5600.0, 36 MONTHS,14.65,193.17,C,C3,O'REILLY AUTO PARTS,1 YEAR,MORTGAGE,85000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,850XX,AZ,12.24,1,1999-05-01,3,8,0,6812,90.8,31,0.0,0.0,1350.86,1350.86,905.39,445.47,0.0,0.0,0.0,2012-08-01,193.17,2016-05-01,0.0
168,1067644,2500.0,2500.0,2500.0, 36 MONTHS,7.51,77.78,A,A3,,,OWN,12000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,961XX,CA,16.3,0,1994-08-01,2,13,0,4853,42.2,20,0.0,0.0,1838.88,1838.88,1575.06,253.74,0.0,10.08,0.0,2013-12-01,77.78,2016-05-01,0.0
175,1067364,10000.0,10000.0,10000.0, 36 MONTHS,13.49,339.31,C,C1,EDGESTONE REAL ESTATE,5 YEARS,RENT,65000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,SMALL_BUSINESS,927XX,CA,6.92,1,1999-12-01,2,12,0,14292,69.5,17,0.0,0.0,9270.84,9270.84,6799.56,2011.75,0.0,459.53,4.4878,2014-03-01,339.31,2014-07-01,0.0
176,1067152,7750.0,7750.0,7750.0, 36 MONTHS,17.27,277.36,D,D3,US BANK,< 1 YEAR,RENT,24000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,601XX,IL,16.1,0,2004-09-01,1,4,0,2348,67.1,7,0.0,0.0,6934.0,6934.0,4935.39,1986.7,0.0,11.91,0.0,2014-01-01,277.36,2016-05-01,0.0
177,1062471,20000.0,20000.0,20000.0, 60 MONTHS,20.89,539.84,F,F1,INDEPENDENT IMAGING,6 YEARS,RENT,70000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,334XX,FL,16.63,0,2002-11-01,1,10,0,10470,79.9,24,0.0,0.0,5425.96,5425.96,1318.27,3034.08,0.0,1073.61,10.48,2012-10-01,591.09,2013-02-01,0.0
179,1067126,21000.0,21000.0,21000.0, 60 MONTHS,11.71,464.07,B,B3,CALIX,3 YEARS,RENT,60000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,931XX,CA,6.62,0,1990-12-01,0,7,0,10543,79.9,11,0.0,0.0,3708.24,3708.24,2142.87,1565.37,0.0,0.0,0.0,2012-08-01,464.07,2012-08-01,0.0
182,1067324,15000.0,15000.0,15000.0, 36 MONTHS,16.77,533.08,D,D2,SCHNEIDER NATIONAL INC,10+ YEARS,RENT,42000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,543XX,WI,19.63,0,2001-08-01,2,10,0,8238,74.9,38,0.0,0.0,13373.77,13373.77,8365.66,3923.4,0.0,1084.71,40.78310001,2014-04-01,188.69,2014-04-01,0.0
183,1067102,15000.0,15000.0,15000.0, 36 MONTHS,17.27,536.81,D,D3,SANTA CLARA COUNTY PUBLIC DEFENDER,8 YEARS,RENT,75000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,951XX,CA,16.03,0,1991-03-01,0,10,0,13505,75.9,17,0.0,0.0,10198.4,10198.4,6944.85,3238.39,0.0,15.16,5.64,2013-08-01,536.81,2016-05-01,0.0
188,1067265,16000.0,16000.0,16000.0, 36 MONTHS,12.69,536.72,B,B5,MARSH,1 YEAR,RENT,58500.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,606XX,IL,20.64,0,1994-09-01,0,8,0,26224,89.3,10,0.0,0.0,12295.72,12295.72,9479.47,2778.95,26.83551087,10.47,1.779900003,2014-05-01,528.58,2016-05-01,0.0
195,1067038,12000.0,12000.0,12000.0, 36 MONTHS,14.27,411.71,C,C2,CORNING INC.,8 YEARS,MORTGAGE,70000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,OTHER,148XX,NY,8.4,0,2005-08-01,1,7,0,11546,86.2,12,0.0,0.0,4241.16,4241.16,2534.26,1163.48,0.0,543.42,5.32,2012-10-01,411.71,2013-02-01,0.0
203,1031265,13650.0,13650.0,13650.0, 36 MONTHS,12.42,456.12,B,B4,ITT AEROSPACE CONTROLS,10+ YEARS,MORTGAGE,86000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,913XX,CA,12.29,0,1994-05-01,1,12,0,16140,73.4,34,0.0,0.0,8203.29,8203.29,5810.73,1931.92,0.0,460.64,4.64,2013-05-01,456.12,2013-10-01,0.0
204,1066835,10500.0,10500.0,10500.0, 36 MONTHS,16.29,370.66,D,D1,BUTTE COMMUNITY COLLEGE,3 YEARS,RENT,30000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,959XX,CA,15.0,0,2007-11-01,1,7,0,5379,55.5,8,0.0,0.0,2222.16,2222.16,1414.89,807.27,0.0,0.0,0.0,2012-07-01,370.66,2016-05-01,0.0
212,1063280,15075.0,15075.0,15075.0, 36 MONTHS,14.27,517.21,C,C2,JPMORGAN CHASE BANK,10+ YEARS,RENT,35000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,770XX,TX,20.16,0,2000-08-01,1,7,0,10570,89.6,14,0.0,0.0,15502.77,15502.77,11609.04,3374.45,0.0,519.28,5.036800002,2014-06-01,517.21,2014-10-01,0.0
220,1066798,9500.0,9500.0,9500.0, 36 MONTHS,12.69,318.68,B,B5,SAN DIEGO UNIFIED SCHOOL DISTRICT,< 1 YEAR,MORTGAGE,52500.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,MOVING,921XX,CA,23.54,0,1999-07-01,2,14,0,23729,75.3,42,0.0,0.0,7002.16,7002.16,5366.65,1635.51,0.0,0.0,0.0,2013-11-01,318.68,2016-05-01,0.0
224,1066766,7200.0,7200.0,7200.0, 36 MONTHS,7.9,225.29,A,A4,"ST. MARY'S HEALTH CARE SYSTEM, INC.",3 YEARS,RENT,68000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,306XX,GA,7.98,0,2002-01-01,0,5,0,8783,82.9,14,0.0,0.0,7730.87,7730.87,6744.17,907.62,14.97905838,64.1,11.538,2014-11-01,225.29,2015-04-01,0.0
225,1066613,26000.0,26000.0,25975.0, 60 MONTHS,16.77,642.96,D,D2,PEPSICO,10+ YEARS,MORTGAGE,53000.0,VERIFIED,2011-12-01,CHARGED OFF,HOME_IMPROVEMENT,271XX,NC,11.77,0,1998-09-01,1,5,0,7560,72.7,14,0.0,0.0,9622.45,9613.3,3946.3,4391.9,0.0,1284.25,12.27,2013-02-01,642.96,2013-06-01,0.0
226,1065648,7000.0,7000.0,6975.0, 60 MONTHS,11.71,154.69,B,B3,WA STATE VDSHS,6 YEARS,MORTGAGE,69600.0,VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,981XX,WA,26.22,0,1979-10-01,0,10,0,45449,90.9,23,0.0,0.0,6126.24,6104.36,3452.36,1790.2,0.0,883.68,156.0204,2014-10-01,154.69,2015-01-01,0.0
231,1066503,10000.0,10000.0,10000.0, 36 MONTHS,12.69,335.45,B,B5,NOR CAL BEVERAGE,2 YEARS,RENT,70000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,956XX,CA,2.69,0,2000-10-01,0,5,0,6035,70.2,6,0.0,0.0,6351.59,6351.59,4513.35,1505.13,0.0,333.11,3.1464,2013-07-01,335.45,2013-12-01,0.0
239,1066344,15600.0,15600.0,15600.0, 60 MONTHS,12.69,352.48,B,B5,CORBETT INDUSTRIES,10+ YEARS,RENT,50000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,VACATION,109XX,NY,5.78,0,2003-06-01,1,8,0,8079,35.7,11,0.0,0.0,16894.08,16894.08,11631.87,5262.21,0.0,0.0,0.0,2016-01-01,352.48,2016-05-01,0.0
251,1048526,4000.0,4000.0,4000.0, 36 MONTHS,12.69,134.18,B,B5,XOXO SALON,2 YEARS,RENT,25000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,802XX,CO,6.86,0,2005-02-01,3,5,0,8546,79.7,13,0.0,0.0,2022.66,2022.66,1373.86,498.22,0.0,150.58,1.55,2013-03-01,134.18,2014-08-01,0.0
255,1066232,10000.0,10000.0,10000.0, 36 MONTHS,12.42,334.16,B,B4,FIRST NATIONAL BANK OF ST. LOUIS,10+ YEARS,RENT,39000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,630XX,MO,18.31,0,1998-08-01,1,7,0,11691,90.6,19,0.0,0.0,11604.88,11604.88,9635.96,1956.9,0.0,12.02,0.0,2014-04-01,4378.02,2016-05-01,0.0
266,1066162,12000.0,12000.0,12000.0, 36 MONTHS,8.9,381.04,A,A5,"TIME ESCROW, INC.",7 YEARS,RENT,80000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,OTHER,900XX,CA,9.13,0,2003-10-01,0,8,0,13088,83.5,16,0.0,0.0,10411.4,10411.4,8330.52,1564.56,0.0,516.32,5.0436,2014-03-01,381.04,2014-07-01,0.0
270,1063447,16000.0,16000.0,16000.0, 60 MONTHS,13.49,368.08,C,C1,,10+ YEARS,RENT,35000.0,VERIFIED,2011-12-01,CHARGED OFF,SMALL_BUSINESS,274XX,NC,16.22,0,2002-07-01,1,6,0,19184,58.5,14,0.0,0.0,10343.32,10343.32,5147.59,3678.41,0.0,1517.32,15.1732,2014-01-01,368.08,2014-05-01,0.0
273,1066112,11875.0,11875.0,11875.0, 60 MONTHS,12.69,268.32,B,B5,GUARDSMARK,< 1 YEAR,RENT,25920.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,941XX,CA,23.75,0,2001-04-01,0,8,0,13932,94.1,28,0.0,0.0,1185.35,1185.35,285.76,248.58,0.0,651.01,117.1818,2012-03-01,268.32,2012-07-01,0.0
278,1066071,14000.0,14000.0,14000.0, 36 MONTHS,7.9,438.07,A,A4,INTERIM HEALTH CARE,10+ YEARS,OWN,45600.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,265XX,WV,19.74,0,1992-06-01,0,5,0,15846,63.9,10,0.0,0.0,6130.32,6130.32,5053.24,1077.08,0.0,0.0,0.0,2013-03-01,438.07,2016-05-01,0.0
299,1065026,8000.0,8000.0,8000.0, 36 MONTHS,16.29,282.41,D,D1,ST. ROSE SAN MARTIN,5 YEARS,RENT,50000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,891XX,NV,13.22,0,2005-11-01,0,9,0,5106,72.9,12,0.0,0.0,4533.54,4533.54,2798.78,1436.44,0.0,298.32,3.09,2013-04-01,287.45,2013-09-01,0.0
300,1057001,30000.0,30000.0,28673.79652, 60 MONTHS,12.42,673.72,B,B4,,3 YEARS,RENT,70000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,SMALL_BUSINESS,773XX,TX,0.94,0,2006-07-01,0,7,0,1159,3.2,14,0.0,0.0,17179.15,14854.83,8464.18,5679.62,33.68658497,3001.66,30.0166,2013-10-01,673.72,2014-02-01,0.0
301,1065513,18000.0,18000.0,18000.0, 60 MONTHS,16.77,445.13,D,D2,OLD REPUBLIC HOME PROTECTION,6 YEARS,OWN,40000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,HOME_IMPROVEMENT,945XX,CA,18.42,0,2000-11-01,3,7,0,11147,73.4,20,0.0,0.0,11229.37,11229.37,4677.94,4651.94,0.0,1899.49,18.8164,2013-10-01,445.13,2014-02-01,0.0
304,1061788,20000.0,20000.0,19975.0, 60 MONTHS,20.3,533.23,E,E5,FEDERAL,10+ YEARS,OWN,59000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,997XX,AK,20.91,0,2000-08-01,2,16,0,32137,83.1,32,0.0,0.0,16063.42,16043.48,6317.7,7790.84,0.0,1954.88,19.5488,2014-03-01,281.46,2014-07-01,0.0
313,1065467,9000.0,9000.0,9000.0, 60 MONTHS,19.91,238.0,E,E4,RESPONSIVE LEARNING TECHNOLOGIES,3 YEARS,RENT,60000.0,VERIFIED,2011-12-01,CHARGED OFF,CREDIT_CARD,950XX,CA,22.56,0,1997-12-01,1,17,0,21321,91.1,30,0.0,0.0,5227.64,5227.64,2327.73,2899.91,0.0,0.0,0.0,2013-10-01,238.0,2016-05-01,0.0
314,1065649,25000.0,25000.0,24975.0, 60 MONTHS,18.64,643.58,E,E1,KINGS COUNTY DISTRICT ATTORNEY'S OFFICE,10+ YEARS,RENT,61500.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,112XX,NY,12.6,1,2000-04-01,0,11,0,24278,60.8,25,0.0,0.0,25775.38,25749.68,13993.4,11732.12,32.18,17.68,3.1824,2015-04-01,643.58,2016-05-01,0.0
317,1064102,20000.0,20000.0,19975.0, 60 MONTHS,15.27,478.64,C,C4,LEVEL 3 COMMUNICATIONS,10+ YEARS,OWN,78216.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,956XX,CA,10.79,0,1995-07-01,1,8,0,25161,80.3,21,0.0,0.0,5797.78,5790.61,2367.51,2405.39,0.0,1024.88,9.89,2012-10-01,478.64,2013-03-01,0.0
318,1062399,18000.0,18000.0,17975.0, 60 MONTHS,17.27,449.97,D,D3,NEXCOM,1 YEAR,MORTGAGE,62000.0,VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,234XX,VA,7.82,0,1988-08-01,2,8,0,11273,86.7,30,0.0,0.0,20808.83,20780.01,11594.61,8172.87,0.0,1041.35,187.443,2015-08-01,449.97,2016-03-01,0.0
324,1065348,5000.0,5000.0,5000.0, 36 MONTHS,12.42,167.08,B,B4,THE NEWELL GROUP,2 YEARS,RENT,30000.0,SOURCE VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,296XX,SC,23.84,0,2001-06-01,2,8,0,7980,89.7,40,0.0,0.0,833.7,833.7,587.51,246.19,0.0,0.0,0.0,2012-06-01,167.08,2016-05-01,0.0
328,1065304,12000.0,12000.0,12000.0, 36 MONTHS,9.91,386.7,B,B1,SHAWS,10+ YEARS,RENT,55000.0,NOT VERIFIED,2011-12-01,CHARGED OFF,DEBT_CONSOLIDATION,028XX,RI,13.0,0,1998-03-01,0,10,0,11774,75.5,17,0.0,0.0,5851.68,5851.68,4244.34,1162.46,0.0,444.88,4.55,2013-03-01,386.7,2013-07-01,0.0
